Codigo_do_alimento; Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Colesterol_(mg);AG_Saturados_(g);AG_Mono _(g);AG_Poli_(g);AG_Linoleico_(g);AG_Linolenico_(g);AG_Trans_total_(g);Acucar_total_(g);Acucar_de_adicao_(g)
6400601;Mandioca;Hortalicas tuberosas;99;Nao se aplica;0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400609;Aipim;Hortalicas tuberosas;2;Cozido(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400609;Aipim;Hortalicas tuberosas;4;Assado(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400609;Aipim;Hortalicas tuberosas;5;Frito(a);0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400609;Aipim;Hortalicas tuberosas;6;Empanado(a)/a milanesa;0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400609;Aipim;Hortalicas tuberosas;7;Refogado(a);0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400609;Aipim;Hortalicas tuberosas;8;Molho vermelho;0;0.09;0.09;0.09;0.05;0.01;0;0.85;0
6400609;Aipim;Hortalicas tuberosas;11;Com manteiga/oleo;10.75;2.66;1.15;0.25;0.18;0.03;0.16;0.01;0
6400609;Aipim;Hortalicas tuberosas;13;Ensopado;0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400609;Aipim;Hortalicas tuberosas;15;Sopa;0;0.04;0.03;0.03;0.03;0.01;0;3.28;2.52
6400609;Aipim;Hortalicas tuberosas;99;Nao se aplica;0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400610;Macaxeira;Hortalicas tuberosas;1;Cru(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400610;Macaxeira;Hortalicas tuberosas;2;Cozido(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400610;Macaxeira;Hortalicas tuberosas;4;Assado(a);0;0.1;0.1;0.1;0.05;0.01;0;0;0
6400610;Macaxeira;Hortalicas tuberosas;5;Frito(a);0;0.87;1.23;2.97;2.58;0.35;0.03;0;0
6400701;Cara;Hortalicas tuberosas;2;Cozido(a);0;0.03;0.01;0.05;0.04;0.01;0;6.47;0
6400701;Cara;Hortalicas tuberosas;5;Frito(a);0;0.28;0.42;1.08;0.95;0.13;0;6.47;0
6400701;Cara;Hortalicas tuberosas;7;Refogado(a);0;0.28;0.42;1.08;0.95;0.13;0;6.47;0
6400701;Cara;Hortalicas tuberosas;13;Ensopado;0;0.28;0.42;1.08;0.95;0.13;0;6.47;0
6400701;Cara;Hortalicas tuberosas;14;Mingau;0;0.03;0.01;0.05;0.04;0.01;0;6.47;0
6400701;Cara;Hortalicas tuberosas;15;Sopa;0;0.04;0.03;0.03;0.03;0.01;0;3.28;2.52
6400713;Inhame caraquento (cara);Hortalicas tuberosas;2;Cozido(a);0;0.03;0.01;0.05;0.04;0.01;0;6.47;0
6400802;Batata (nao especificada);Hortalicas tuberosas;1;Cru(a);0;0.03;0;0.04;0.03;0.01;0;0.86;0
6400802;Batata (nao especificada);Hortalicas tuberosas;2;Cozido(a);0;0.03;0;0.04;0.03;0.01;0;0.86;0
6400802;Batata (nao especificada);Hortalicas tuberosas;3;Grelhado(a)/brasa/churrasco;0;0.03;0;0.04;0.03;0.01;0;0.86;0
6400802;Batata (nao especificada);Hortalicas tuberosas;4;Assado(a);0;0.03;0;0.04;0.03;0.01;0;0.86;0
6400802;Batata (nao especificada);Hortalicas tuberosas;5;Frito(a);0;2.15;3.07;7.85;6.92;0.93;0.07;1.44;0
6400802;Batata (nao especificada);Hortalicas tuberosas;7;Refogado(a);0;0.48;0.67;1.72;1.52;0.21;0.02;0.86;0
6400802;Batata (nao especificada);Hortalicas tuberosas;8;Molho vermelho;0;0.03;0.01;0.05;0.04;0.01;0;1.54;0
6400802;Batata (nao especificada);Hortalicas tuberosas;9;Molho branco;6.83;1.55;0.64;0.15;0.12;0.03;0.1;1.72;0
6400802;Batata (nao especificada);Hortalicas tuberosas;12;Ao vinagrete;0;0.48;0.67;1.72;1.52;0.21;0.02;0.86;0
6400802;Batata (nao especificada);Hortalicas tuberosas;13;Ensopado;0;0.48;0.67;1.72;1.52;0.21;0.02;0.86;0
6400802;Batata (nao especificada);Hortalicas tuberosas;15;Sopa;0;0.04;0.03;0.03;0.03;0.01;0;3.28;2.52
6400802;Batata (nao especificada);Hortalicas tuberosas;99;Nao se aplica;0;0.03;0;0.04;0.03;0.01;0;0.86;0
6400908;Mandioquinha;Hortalicas tuberosas;2;Cozido(a);0;0.03;0;0.06;0.06;0;0;5.74;0
6400908;Mandioquinha;Hortalicas tuberosas;5;Frito(a);0;0.75;1.17;2.95;2.61;0.34;0;5.45;0
6400908;Mandioquinha;Hortalicas tuberosas;7;Refogado(a);0;0.29;0.41;1.09;0.97;0.12;0;5.74;0
6400908;Mandioquinha;Hortalicas tuberosas;13;Ensopado;0;0.29;0.41;1.09;0.97;0.12;0;5.74;0
6401001;Rabanete;Hortalicas tuberosas;1;Cru(a);0;0.03;0.02;0.05;0.02;0.03;0;0.92;0
6401001;Rabanete;Hortalicas tuberosas;2;Cozido(a);0;0.03;0.02;0.05;0.02;0.03;0;2.89;0
6401001;Rabanete;Hortalicas tuberosas;12;Ao vinagrete;0;0.03;0.02;0.05;0.02;0.03;0;2.89;0
6401101;Beterraba;Hortalicas tuberosas;1;Cru(a);0;0.03;0.03;0.06;0.06;0.01;0;6.5;0
6401101;Beterraba;Hortalicas tuberosas;2;Cozido(a);0;0.03;0.04;0.06;0.06;0.01;0;8.8;0
6401101;Beterraba;Hortalicas tuberosas;7;Refogado(a);0;0.41;0.66;1.61;1.42;0.19;0;8.8;0
6401101;Beterraba;Hortalicas tuberosas;12;Ao vinagrete;0;0.03;0.04;0.06;0.06;0.01;0;8.8;0
6401101;Beterraba;Hortalicas tuberosas;15;Sopa;0;0.04;0.03;0.03;0.03;0.01;0;3.28;2.52
6401101;Beterraba;Hortalicas tuberosas;99;Nao se aplica;0;0.03;0.03;0.06;0.06;0.01;0;6.5;0
6401201;Cenoura;Hortalicas tuberosas;1;Cru(a);0;0.04;0.01;0.12;0.12;0;0;4.73;0
6401201;Cenoura;Hortalicas tuberosas;2;Cozido(a);0;0.03;0.01;0.09;0.09;0;0;3.46;0
6401201;Cenoura;Hortalicas tuberosas;5;Frito(a);0;0.46;0.7;1.82;1.61;0.2;0;3.36;0
6401201;Cenoura;Hortalicas tuberosas;7;Refogado(a);0;0.46;0.7;1.82;1.61;0.2;0;3.36;0
6401201;Cenoura;Hortalicas tuberosas;8;Molho vermelho;0;0.03;0.01;0.09;0.08;0;0;3.62;0
6401201;Cenoura;Hortalicas tuberosas;10;Ao alho e oleo;0;0.46;0.7;1.82;1.61;0.2;0;3.36;0
6401201;Cenoura;Hortalicas tuberosas;11;Com manteiga/oleo;6.52;1.59;0.64;0.18;0.17;0.01;0.1;3.46;0
