Codigo_do_alimento ;Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Calcio_(mg);Magnesio _(mg);Manganes _(mg);Fosforo_(mg);Ferro _(mg);Sodio_(mg);Sodio _de _adicao _(mg);Potassio_(mg);Cobre _(mg);Zinco_(mg);Selenio_(mcg)
6400401;Batata doce;Hortalicas tuberosas;1;Cru(a);27;18;0.27;32;0.72;27;148;230;0.09;0.2;0.2
6400401;Batata doce;Hortalicas tuberosas;2;Cozido(a);27;18;0.27;32;0.72;27;148;230;0.09;0.2;0.2
6400401;Batata doce;Hortalicas tuberosas;4;Assado(a);38;27;0.5;54;0.69;36;148;475;0.16;0.32;0.2
6400401;Batata doce;Hortalicas tuberosas;5;Frito(a);86.67;57.78;0.85;102.72;2.31;86.67;148;738.3;0.3;0.64;6.21
6400401;Batata doce;Hortalicas tuberosas;7;Refogado(a);27;18;0.27;32;0.72;27;148;230;0.09;0.2;1.02
6400401;Batata doce;Hortalicas tuberosas;13;Ensopado;27;18;0.27;32;0.72;27;148;230;0.09;0.2;1.02
6400401;Batata doce;Hortalicas tuberosas;99;Nao se aplica;27;18;0.27;32;0.72;27;148;230;0.09;0.2;0.2
6400501;Inhame;Hortalicas tuberosas;1;Cru(a);35;21;0.67;44;0.54;8;260;377;0.18;0.3;0.6
6400501;Inhame;Hortalicas tuberosas;2;Cozido(a);35;21;0.67;44;0.54;8;260;377;0.18;0.3;0.6
6400501;Inhame;Hortalicas tuberosas;4;Assado(a);38;27;0.5;54;0.69;36;260;475;0.16;0.32;0.2
6400501;Inhame;Hortalicas tuberosas;5;Frito(a);35;21;0.67;44;0.54;8;260;377;0.18;0.3;1.42
6400501;Inhame;Hortalicas tuberosas;7;Refogado(a);35;21;0.67;44;0.54;8;260;377;0.18;0.3;1.42
6400501;Inhame;Hortalicas tuberosas;13;Ensopado;35;21;0.67;44;0.54;8;260;377;0.18;0.3;1.42
