Codigo_do_alimento;Descricao_do_alimento;Tipo;Codigo_da_preparacao;Descricao_da_preparacao; Energia_(kcal) ;Proteina_(g); Lipidios_totais_(g) ; Carboidrato_(g) ; Fibra_alimentar_total_(g) 
7100101;File0mignon;Carnes e visceras;2;Cozido(a);204,00;30,67;9,00;    ;    
7100101;File0mignon;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;204,00;30,67;9,00;    ;    
7100101;File0mignon;Carnes e visceras;4;Assado(a);204,00;30,67;9,00;    ;    
7100101;File0mignon;Carnes e visceras;5;Frito(a);226,66;30,67;11,56;    ;    
7100101;File0mignon;Carnes e visceras;6;Empanado(a)/à milanesa;242,84;31,13;11,61;3,39;0,14
7100101;File0mignon;Carnes e visceras;7;Refogado(a);226,66;30,67;11,56;    ;    
7100101;File0mignon;Carnes e visceras;8;Molho vermelho;168,00;24,80;7,24;1,08;0,30
7100101;File0mignon;Carnes e visceras;9;Molho branco;195,79;25,32;9,69;1,85;0,04
7100101;File0mignon;Carnes e visceras;11;Com manteiga/oleo;223,14;30,69;11,17;    ;    
7100101;File0mignon;Carnes e visceras;99;Nao se aplica;204,00;30,67;9,00;    ;    
7100201;Contrafile;Carnes e visceras;2;Cozido(a);204,00;30,67;9,00;    ;    
7100201;Contrafile;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;204,00;30,67;9,00;    ;    
7100201;Contrafile;Carnes e visceras;4;Assado(a);204,00;30,67;9,00;    ;    
7100201;Contrafile;Carnes e visceras;5;Frito(a);226,66;30,67;11,56;    ;    
7100201;Contrafile;Carnes e visceras;6;Empanado(a)/à milanesa;242,84;31,13;11,61;3,39;0,14
7100201;Contrafile;Carnes e visceras;7;Refogado(a);226,66;30,67;11,56;    ;    
7100201;Contrafile;Carnes e visceras;8;Molho vermelho;168,00;24,80;7,24;1,08;0,30
7100205;Bisteca bovina;Carnes e visceras;1;Cru(a);471,00;21,57;41,98;    ;    
7100205;Bisteca bovina;Carnes e visceras;2;Cozido(a);471,00;21,57;41,98;    ;    
7100205;Bisteca bovina;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;471,00;21,57;41,98;    ;    
7100205;Bisteca bovina;Carnes e visceras;4;Assado(a);471,00;21,57;41,98;    ;    
7100205;Bisteca bovina;Carnes e visceras;5;Frito(a);471,00;21,57;41,98;    ;    
7100205;Bisteca bovina;Carnes e visceras;6;Empanado(a)/à milanesa;329,84;26,31;22,65;3,39;0,14
7100205;Bisteca bovina;Carnes e visceras;7;Refogado(a);471,00;21,57;41,98;    ;    
7100205;Bisteca bovina;Carnes e visceras;8;Molho vermelho;381,60;17,52;33,62;1,08;0,30
7100301;Alcatra;Carnes e visceras;1;Cru(a);204,00;30,67;9,00;    ;    
7100301;Alcatra ;Carnes e visceras;2;Cozido(a);204,00;30,67;9,00;    ;    
7100301;Alcatra;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;204,00;30,67;9,00;    ;    
7100301;Alcatra;Carnes e visceras;4;Assado(a);204,00;30,67;9,00;    ;    
7100301;Alcatra;Carnes e visceras;5;Frito(a);253,57;30,67;14,61;    ;    
7100301;Alcatra;Carnes e visceras;6;Empanado(a)/à milanesa;253,57;30,67;14,61;    ;    
7100301;Alcatra;Carnes e visceras;7;Refogado(a);253,57;30,67;14,61;    ;    
7100301;Alcatra;Carnes e visceras;8;Molho vermelho;168,00;24,80;7,24;1,08;0,30
7100301;Alcatra;Carnes e visceras;12;Ao vinagrete;204,00;30,67;9,00;    ;    
7100301;Alcatra;Carnes e visceras;13;Ensopado;253,57;30,67;14,61;    ;    
7100303;Maminha;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;199,00;36,12;5,00;    ;    
7100303;Maminha;Carnes e visceras;4;Assado(a);199,00;36,12;5,00;    ;    
7100303;Maminha;Carnes e visceras;5;Frito(a);248,57;36,12;10,61;    ;    
7100303;Maminha;Carnes e visceras;8;Molho vermelho;164,00;29,16;4,04;1,08;0,30
7100304;Picanha;Carnes e visceras;2;Cozido(a);204,00;30,67;9,00;    ;    
7100304;Picanha;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;204,00;30,67;9,00;    ;    
7100304;Picanha;Carnes e visceras;4;Assado(a);204,00;30,67;9,00;    ;    
7100304;Picanha ;Carnes e visceras;5;Frito(a);253,57;30,67;14,61;    ;    
7100304;Picanha ;Carnes e visceras;13;Ensopado;253,57;30,67;14,61;    ;    
7100501;Patinho;Carnes e visceras;2;Cozido(a);199,00;36,12;5,00;    ;    
7100501;Patinho;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;199,00;36,12;5,00;    ;    
7100501;Patinho;Carnes e visceras;4;Assado(a);199,00;36,12;5,00;    ;    
7100501;Patinho;Carnes e visceras;5;Frito(a);248,57;36,12;10,61;    ;    
7100501;Patinho;Carnes e visceras;6;Empanado(a)/à milanesa;248,57;36,12;10,61;    ;    
7100501;Patinho;Carnes e visceras;8;Molho vermelho;164,00;29,16;4,04;1,08;0,30
7100501;Patinho;Carnes e visceras;13;Ensopado;248,57;36,12;10,61;    ;    
7100502;Cabeca de lombo (carne bovina);Carnes e visceras;2;Cozido(a);199,00;36,12;5,00;    ;    
7100502;Cabeca de lombo (carne bovina);Carnes e visceras;3;Grelhado(a)/brasa/churrasco;199,00;36,12;5,00;    ;    
7100502;Cabeca de lombo (carne bovina);Carnes e visceras;4;Assado(a);199,00;36,12;5,00;    ;    
7100502;Cabeca de lombo (carne bovina);Carnes e visceras;5;Frito(a);248,57;36,12;10,61;    ;    
7100502;Cabeca de lombo (carne bovina);Carnes e visceras;6;Empanado(a)/à milanesa;248,57;36,12;10,61;    ;    
7100502;Cabeca de lombo (carne bovina);Carnes e visceras;7;Refogado(a);248,57;36,12;10,61;    ;    
7100604;Posta branca;Carnes e visceras;2;Cozido(a);199,00;36,12;5,00;    ;    
7100604;Posta branca;Carnes e visceras;5;Frito(a);248,57;36,12;10,61;    ;    
7100604;Posta branca;Carnes e visceras;8;Molho vermelho;164,00;29,16;4,04;1,08;0,30
7100606;Tatu (lagarto redondo);Carnes e visceras;2;Cozido(a);199,00;36,12;5,00;    ;    
7100606;Tatu (lagarto redondo);Carnes e visceras;4;Assado(a);199,00;36,12;5,00;    ;    
7100606;Tatu (lagarto redondo);Carnes e visceras;7;Refogado(a);248,57;36,12;10,61;    ;    
