Codigo_do_alimento ;Descricao_do_alimento ;Tipo;Codigo _da_preparacao;Descricao_da_preparacao;Retinol_(mcg);Vitamina_A_ERA_(mcg);Tiamina_(mg);Riboflavina_(mg);Niacina_(mg);Niacina_(NE)_(mg);Piridoxina_(mg);Cobalamina_(mcg);Folato_(DFE)_(mcg);Vitamina_D_(mcg);Vitamina_E_(mg);Vitamina_C_(mg)
6400303;Mandioquinha salsa (batata-baroa);Hortalicas tuberosas;13;Ensopado;0;787;0.06;0.05;0.54;1;0.17;0;6;0;1.1;12.8
6400303;Mandioquinha salsa (batata-baroa);Hortalicas tuberosas;99;Nao se aplica;0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400304;Cenoura amarela (batata-baroa);Hortalicas tuberosas;99;Nao se aplica;0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400401;Batata-doce;Hortalicas tuberosas;1;Cru(a);0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400401;Batata-doce;Hortalicas tuberosas;2;Cozido(a);0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400401;Batata-doce;Hortalicas tuberosas;4;Assado(a);0;960.88;0.11;0.11;1.49;2.15;0.29;0;6;0;0.71;19.6
6400401;Batata-doce;Hortalicas tuberosas;5;Frito(a);0;2526.27;0.18;0.15;1.73;3.22;0.53;0;19.26;0;4.14;41.09
6400401;Batata-doce;Hortalicas tuberosas;7;Refogado(a);0;787;0.06;0.05;0.54;1;0.17;0;6;0;1.1;12.8
6400401;Batata-doce;Hortalicas tuberosas;13;Ensopado;0;787;0.06;0.05;0.54;1;0.17;0;6;0;1.1;12.8
6400401;Batata-doce;Hortalicas tuberosas;99;Nao se aplica;0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400501;Inhame;Hortalicas tuberosas;1;Cru(a);0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.77;9.1
6400501;Inhame;Hortalicas tuberosas;2;Cozido(a);0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.77;9.1
6400501;Inhame;Hortalicas tuberosas;4;Assado(a);0;960.88;0.11;0.11;1.49;2.15;0.29;0;6;0;0.71;19.6
6400501;Inhame;Hortalicas tuberosas;5;Frito(a);0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.93;9.1
6400501;Inhame;Hortalicas tuberosas;7;Refogado(a);0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.93;9.1
6400501;Inhame;Hortalicas tuberosas;13;Ensopado;0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.93;9.1
6400501;Inhame;Hortalicas tuberosas;15;Sopa;0;33.48;0.03;0.03;0.51;0.67;0.04;0.02;9.28;0;0.2;2.1
6400508;Quicare;Hortalicas tuberosas;99;Nao se aplica;0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.77;9.1
6400601;Mandioca;Hortalicas tuberosas;1;Cru(a);0;0;0.06;0;0;0;0.03;0;0;0;0;11.1
6400601;Mandioca;Hortalicas tuberosas;2;Cozido(a);0;0;0.06;0;0;0;0.03;0;0;0;0;11.1
6400601;Mandioca;Hortalicas tuberosas;4;Assado(a);0;0;0.06;0;0;0;0.03;0;0;0;0;11.1
6400601;Mandioca;Hortalicas tuberosas;5;Frito(a);0;0;0.06;0;0;0;0.03;0;0;0;0.41;10.55
6400601;Mandioca;Hortalicas tuberosas;7;Refogado(a);0;0;0.06;0;0;0;0.03;0;0;0;0.41;10.55
6400601;Mandioca;Hortalicas tuberosas;8;Molho vermelho;0;3.48;0.05;0.01;0.2;0.23;0.04;0;2.2;0;0.28;10.28
6400601;Mandioca;Hortalicas tuberosas;11;Com manteiga/oleo;33.55;34.21;0.06;0;0;0.01;0.03;0.01;0.15;0.07;0.12;10.55
6400601;Mandioca;Hortalicas tuberosas;13;Ensopado;0;0;0.06;0;0;0;0.03;0;0;0;0.41;10.55
6400601;Mandioca;Hortalicas tuberosas;15;Sopa;0;33.48;0.03;0.03;0.51;0.67;0.04;0.02;9.28;0;0.2;2.1
6400601;Mandioca;Hortalicas tuberosas;99;Nao se aplica;0;0;0.06;0;0;0;0.03;0;0;0;0;11.1
6400609;Aipim;Hortalicas tuberosas;2;Cozido(a);0;0;0.06;0;0;0;0.03;0;0;0;0;11.1
6400609;Aipim;Hortalicas tuberosas;4;Assado(a);0;0;0.06;0;0;0;0.03;0;0;0;0;11.1
6400609;Aipim;Hortalicas tuberosas;5;Frito(a);0;0;0.06;0;0;0;0.03;0;0;0;0.41;10.55
6400609;Aipim;Hortalicas tuberosas;6;Empanado(a)/a milanesa;0;0;0.06;0;0;0;0.03;0;0;0;0.41;10.55
6400609;Aipim;Hortalicas tuberosas;7;Refogado(a);0;0;0.06;0;0;0;0.03;0;0;0;0.41;10.55
6400609;Aipim;Hortalicas tuberosas;8;Molho vermelho;0;3.48;0.05;0.01;0.2;0.23;0.04;0;2.2;0;0.28;10.28
6400609;Aipim;Hortalicas tuberosas;11;Com manteiga/oleo;33.55;34.21;0.06;0;0;0.01;0.03;0.01;0.15;0.07;0.12;10.55
6400609;Aipim;Hortalicas tuberosas;13;Ensopado;0;0;0.06;0;0;0;0.03;0;0;0;0.41;10.55
6400609;Aipim;Hortalicas tuberosas;15;Sopa;0;33.48;0.03;0.03;0.51;0.67;0.04;0.02;9.28;0;0.2;2.1
6400609;Aipim;Hortalicas tuberosas;99;Nao se aplica;0;0;0.06;0;0;0;0.03;0;0;0;0;11.1
6400610;Macaxeira;Hortalicas tuberosas;1;Cru(a);0;0;0.06;0;0;0;0.03;0;0;0;0;11.1
6400610;Macaxeira;Hortalicas tuberosas;2;Cozido(a);0;0;0.06;0;0;0;0.03;0;0;0;0;11.1
6400610;Macaxeira;Hortalicas tuberosas;4;Assado(a);0;0;0.06;0;0;0;0.03;0;0;0;0;11.1
6400610;Macaxeira;Hortalicas tuberosas;5;Frito(a);0;0;0.06;0;0;0;0.03;0;0;0;0.41;10.55
6400701;Cara;Hortalicas tuberosas;2;Cozido(a);0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.77;9.1
6400701;Cara;Hortalicas tuberosas;5;Frito(a);0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.93;9.1
